"Pathway","Control","Treatment","Statistic","P_value","P_adjust"
"Lysosome-dependentcelldeath_GeneCards",0.0911788156751251,0.351162663023939,0,0.00216450216450216,0.00348521534962213
"Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards",0.0536291495099736,0.345445922022653,0,0.00216450216450216,0.00348521534962213
"Mitotic death_GeneCards",0.0714404845610622,0.397859426732586,0,0.00216450216450216,0.00348521534962213
"Mitotic_catastrophe_GeneCards",0.0954969640093636,0.37023648146794,0,0.00216450216450216,0.00348521534962213
"Necroptosis_AML_37993258",0.147322367709705,0.377489750482088,0,0.00216450216450216,0.00348521534962213
"Necroptosis_BRCA_Prognosis_37787960",0.0944868784650473,0.368198891463255,0,0.00216450216450216,0.00348521534962213
"Necroptosis_Glioma_Prognosis_36466844",0.0944623233093916,0.368541721715926,0,0.00216450216450216,0.00348521534962213
"Necroptosis_Pan Cancer_36044785",0.147322367709705,0.377489750482088,0,0.00216450216450216,0.00348521534962213
"NETosis_Pan Cancer_37408763",0.0792449620029628,0.332820819259921,0,0.00216450216450216,0.00348521534962213
"NETosis_PCa_39733640",0.0212214083414294,0.378337066348699,0,0.00216450216450216,0.00348521534962213
"paraptosis-like death_GeneCards",-0.0225196277666742,0.434681528456803,0,0.00216450216450216,0.00348521534962213
"Paraptosis_GeneCards",0.0299825775923461,0.426823691838471,0,0.00216450216450216,0.00348521534962213
"Phagocytosis_GC_Prognosis_40275059",0.0628064372981451,0.327222207123616,0,0.00216450216450216,0.00348521534962213
"Pyroptosis_ccRCC_Prognosis_35308143",0.10207262074515,0.437390503349982,0,0.00216450216450216,0.00348521534962213
"Pyroptosis_LUAD_37077542",0.0886504777597911,0.365269688055103,0,0.00216450216450216,0.00348521534962213
"Pyroptosis_Pan Cancer_36703967",0.0630553496014278,0.381150694771429,0,0.00216450216450216,0.00348521534962213
"Autophagy_HCC_40514326",0.142728436762163,0.342179057033787,1,0.00432900432900433,0.00632700632700633
"Cuproptosis_Pan Cancer_37968457",0.0663781771318065,0.303623358181829,1,0.00432900432900433,0.00632700632700633
"Efferocytosis_BLCA_Prognosis_40481075",0.0194086663628599,0.406983205076637,1,0.00432900432900433,0.00632700632700633
"Entosis_GeneCards",0.029731901484584,0.358680978483388,1,0.00432900432900433,0.00632700632700633
"Necroptosis_COAD_36353119",0.105105749301492,0.340017886323814,1,0.00432900432900433,0.00632700632700633
"Necroptosis_ES_Prognosis_37663658",0.119182230055621,0.362339283569402,1,0.00432900432900433,0.00632700632700633
"Autophagy_PAAD_Prognosis_41298756",0.0686442449821911,0.42656831965664,2,0.00865800865800866,0.0112672715412441
"Cuproptosis_Periodontitis_37215133",0.106832556066895,0.3426482577635,2,0.00865800865800866,0.0112672715412441
"Cuproptosis_UCEC_39825108",0.0635677944235629,0.258529450790658,2,0.00865800865800866,0.0112672715412441
"Efferocytosis_BRCA_Prognosis_39911848",0.0410473028554075,0.390092135162967,2,0.00865800865800866,0.0112672715412441
"Efferocytosis_TNBC_41198835",0.0348038475497415,0.362693848533423,2,0.00865800865800866,0.0112672715412441
"Necroptosis_BRCA_Prognosis_35251139",0.143834739110125,0.43054227174894,2,0.00865800865800866,0.0112672715412441
"NETosis_UC_40963602",0.0985440109104179,0.350965414983195,2,0.00865800865800866,0.0112672715412441
"Phagocytosis_CRC_Prognosis_40841999",0.08248278445264,0.340153055875523,2,0.00865800865800866,0.0112672715412441
"Apoptosis_Pan Cancer_35241019",0.0991626058492809,0.340284893436453,3,0.0151515151515152,0.0184537684537685
"Disulfidptosis_Up_38035663",0.0430345482938279,0.319091811025605,3,0.0151515151515152,0.0184537684537685
"Efferocytosis_TNBC_Prognosis_41198835",0.057803847755427,0.36033748717483,3,0.0151515151515152,0.0184537684537685
"PANoptosis_IPF_Prognosis_39515041",0.117011822722367,0.307081141998009,3,0.0151515151515152,0.0184537684537685
"Parthanatos_GeneCards",0.177039557898639,0.396697131861356,3,0.0151515151515152,0.0184537684537685
"Anoikis_SS_41255601",0.0421063520007137,0.351903639175715,4,0.025974025974026,0.0297293068377406
"Cuproptosis_GBM_Prognosis_37246211",0.148675095278673,0.327742334046267,4,0.025974025974026,0.0297293068377406
"Cuproptosis_LUAD_Prognosis_37434829",-0.0345770494261281,0.353796531618079,4,0.025974025974026,0.0297293068377406
"Disulfidptosis_ccRCC_38671348",0.0551561849786838,0.320222594326709,4,0.025974025974026,0.0297293068377406
"Immunogenic Cell Death_BLCA_38023241",0.034066577678771,0.315820354224276,4,0.025974025974026,0.0297293068377406
"Apoptosis_AMI_39650552",0.0802336077092172,0.340795231895696,5,0.0411255411255411,0.0459638400814871
"Cuproptosis_OC_40375037",0.147238863739866,0.290438870535842,5,0.0411255411255411,0.0459638400814871
"Immunogenic Cell Death_LUAD_38171413",0.00710963757630581,0.270457234855767,6,0.0649350649350649,0.070906105388864
"PANoptosis_Pan Cancer_37325556",0.104221167573483,0.35630882189319,6,0.0649350649350649,0.070906105388864
"Cuproptosis_GBM_36814929",0.13347145832908,0.29272041376643,7,0.0930735930735931,0.0971647400218829
"Cuproptosis_Glioma_36110851",0.13347145832908,0.29272041376643,7,0.0930735930735931,0.0971647400218829
"Cuproptosis_HCC_36438201",0.13347145832908,0.29272041376643,7,0.0930735930735931,0.0971647400218829
"Cuproptosis_HCC_36891150",0.13347145832908,0.29272041376643,7,0.0930735930735931,0.0971647400218829
"Necroptosis_HCC_36134033",0.191386516093307,0.326443588796789,8,0.132034632034632,0.136340109166196
"Oxeiptosis_GeneCards",0.148940330799518,0.310288592138854,12,0.393939393939394,0.393939393939394
"Pyroptosis_OA_37853066",0.138056389871892,0.221641609443061,12,0.393939393939394,0.393939393939394
"Pyroptosis_PAAD_Prognosis_36882663",0.138056389871892,0.221641609443061,12,0.393939393939394,0.393939393939394
