"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Ferroptosis_CRC_Prognosis_38774759","Ferroptosis_CRC_Prognosis_38774759","3/100","24/14739",0.125,18.42375,7.06042248635054,0.000553026187928931,0.00138965554915475,0.00046272096695808,"NOX4/CDKN2A/HILPDA",3
"Anoikis_LUSC_40028162","Anoikis_LUSC_40028162","7/100","222/14739",0.0315315315315315,4.64743243243243,4.5257324396547,0.000782433752203056,0.00191696269289749,0.000638301218902493,"NOX4/HRAS/HMOX1/EGFR/BID/ZEB1/CDKN2A",7
"Efferocytosis_TNBC_Prognosis_41198835","Efferocytosis_TNBC_Prognosis_41198835","2/100","8/14739",0.25,36.8475,8.38207076205162,0.001242577715537,0.00289934800291967,0.00096541125768539,"IFNG/TLR4",2
"NETosis_EWS_40628996","NETosis_EWS_40628996","2/100","8/14739",0.25,36.8475,8.38207076205162,0.001242577715537,0.00289934800291967,0.00096541125768539,"ATG7/MAPK3",2
"Entoticcelldeath_GeneCards","Entoticcelldeath_GeneCards","2/100","9/14739",0.222222222222222,32.7533333333333,7.87540277721031,0.00159053886532805,0.00354256383641247,0.00117958623983659,"TP53/MAP1LC3A",2
"PANoptosis_IPF_Prognosis_39515041","PANoptosis_IPF_Prognosis_39515041","2/100","9/14739",0.222222222222222,32.7533333333333,7.87540277721031,0.00159053886532805,0.00354256383641247,0.00117958623983659,"HIF1A/ATM",2
"Efferocytosis_TNBC_41198835","Efferocytosis_TNBC_41198835","3/100","41/14739",0.0731707317073171,10.7846341463415,5.18526515270896,0.00267949957568248,0.00583535463148629,0.00194302893207385,"PIK3CA/IFNG/TLR4",3
"Apoptosis_Pan Cancer_35241019","Apoptosis_Pan Cancer_35241019","4/100","87/14739",0.0459770114942529,6.77655172413793,4.46625390006529,0.00288663253530978,0.00614978235783387,0.0020477255971305,"PIK3CA/TP53/BID/ATM",4
"Necroptosis_ES_Prognosis_37663658","Necroptosis_ES_Prognosis_37663658","3/100","44/14739",0.0681818181818182,10.0493181818182,4.96845055752619,0.00328049524891708,0.00684018158284839,0.00227761148301074,"BID/MAPK8/MAPK14",3
"Cuproptosis_Pan Cancer_37968457","Cuproptosis_Pan Cancer_37968457","3/100","46/14739",0.0652173913043478,9.61239130434783,4.83516168291768,0.00372343994473994,0.00744687988947988,0.0024796270308687,"ULK1/ULK2/CDKN2A",3
